"Region","Sex","Age","Age.Group.Code","Year","Deaths","n_months","Population","Rate","socio_score","rate_health_care_coverage_ccf","rate_alochol_consum_ccf","Total_Population"
"South","Female",45,"45-49",2018,1058,12,4076015,0.000259567248893834,110.532651392005,1.04639566328855,-1.02147989757838,124569433
"South","Female",45,"45-49",2019,1047,12,4048026,0.000258644583804551,110.532651392005,-0.942399543903406,0.65694406044706,125580448
"South","Female",50,"50-54",2005,599,12,3695502,0.000162088939472905,109.11288991517,0.0803224629598199,0.0473991449783215,107411036
"South","Female",50,"50-54",2006,723,12,3795460,0.000190490744204919,109.11288991517,0.844165789508987,-1.0791602168847,108930843
"South","Female",50,"50-54",2007,806,12,3914870,0.000205881676786202,109.11288991517,-0.70380473604271,1.83713210407623,110573419
"South","Female",50,"50-54",2008,831,12,4013730,0.00020703933747412,109.11288991517,0.509731242693434,-1.25320762206405,112021022
"South","Female",50,"50-54",2009,948,12,4088030,0.000231896536962791,109.11288991517,-0.785201093870768,0.451063917619997,113317879
"South","Female",50,"50-54",2010,1015,12,4161609,0.000243896050782282,109.353100482642,0.845943519749667,0.533433528433129,114866680
"South","Female",50,"50-54",2011,1083,12,4213051,0.000257058364591361,109.353100482642,-4.76288261584156,3.27108356649789,116006522
"South","Female",50,"50-54",2012,1108,12,4233713,0.00026170881209945,109.353100482642,3.0535838456337,-4.61037832480596,117241208
"South","Female",50,"50-54",2013,1102,12,4254754,0.000259004398374148,109.353100482642,0.514617108699269,0.92826368518525,118364400
"South","Female",50,"50-54",2014,1127,12,4276867,0.000263510649267326,109.353100482642,3.33254631658437,0.217415707658539,119624037
"South","Female",50,"50-54",2015,1183,12,4258988,0.000277765516127305,110.532651392005,-0.610919066586987,0.77193310236084,120997341
"South","Female",50,"50-54",2016,1264,12,4198295,0.000301074602904274,110.532651392005,-0.170696698190355,0.500086591845701,122351760
"South","Female",50,"50-54",2017,1262,12,4127672,0.000305741347665221,110.532651392005,-1.44676045252743,0.103453677669997,123542189
"South","Female",50,"50-54",2018,1145,12,4053243,0.000282489848252375,110.532651392005,1.04639566328855,-1.02147989757838,124569433
"South","Female",50,"50-54",2019,1083,12,3991435,0.000271330987476935,110.532651392005,-0.942399543903406,0.65694406044706,125580448
"South","Male",15,"15-19",2005,282,12,3973458,7.09709275900236e-05,109.11288991517,0.0803224629598199,0.0473991449783215,107411036
"South","Male",15,"15-19",2006,305,12,4043745,7.5425131901245e-05,109.11288991517,0.844165789508987,-1.0791602168847,108930843
"South","Male",15,"15-19",2007,311,12,4106876,7.57266593878169e-05,109.11288991517,-0.70380473604271,1.83713210407623,110573419
